X,Y,Diameter,Name
4.02,1.67,,杯子2
6.2,2.35,,杯子8
6.8,2.12,,杯子10
6.1,2.25,,杯子16
3.57,2.38,,杯子19
5.8,3.52,,杯子31
2.93,3.15,,杯子47
3.45,7.6,,杯子51
5.87,5.13,,杯子52
5.05,7.07,,杯子53
5.2,4.23,,杯子56
6.65,7.72,,杯子59
3.7,1.5,,杯子60
5.72,2.68,,杯子62
3.1,5.53,,杯子65
3.77,1.95,,杯子67
4.42,1.83,,杯子70
3.95,4.8,,杯子80
5.53,7.3,,杯子83
3.12,3.35,,杯子85
5.15,4.6,,杯子88
4.75,3.42,,杯子93
3.75,6.35,,杯子95
3.8,6.07,,杯子101
4.45,4.53,,杯子102
5.47,6.07,,杯子105
4.1,6.83,,杯子121
5.35,3.22,,杯子132
3.78,7.05,,杯子133
4.82,5.48,,杯子135
4.03,1.58,,杯子138
4.35,6.43,,杯子143
4.65,5.3,,杯子144
5.98,5.1,,杯子145
4.02,4.52,,杯子148
6.1,4.03,,杯子151
4.45,3.77,,杯子153
4.73,6.15,,杯子159
4.45,1.82,,杯子160
3.38,7.87,,杯子165
7.17,2.48,,杯子170
4.62,7,,杯子173
4.37,5.12,,杯子177
3.77,7.23,,杯子178
5.07,6.23,,杯子180
6.18,2.78,,杯子183
5.57,5.3,,杯子184
5.52,3.18,,杯子185
3.58,6.25,,杯子200
4.65,3.85,,杯子201
4.47,4.07,,杯子208
3.92,3.47,,杯子210
