mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 0 | mouseY: 0 20160707-19:29:53
mouseX: 50 | mouseY: 174 20160707-19:29:53
mouseX: 93 | mouseY: 195 20160707-19:29:53
mouseX: 156 | mouseY: 231 20160707-19:29:53
mouseX: 184 | mouseY: 248 20160707-19:29:53
mouseX: 225 | mouseY: 272 20160707-19:29:53
mouseX: 242 | mouseY: 281 20160707-19:29:53
mouseX: 277 | mouseY: 297 20160707-19:29:53
mouseX: 294 | mouseY: 306 20160707-19:29:54
mouseX: 327 | mouseY: 319 20160707-19:29:54
mouseX: 343 | mouseY: 324 20160707-19:29:54
